Chlor,TSO2,pH,qual,Type
0.045,170,3,6,W
0.049,132,3.3,6,W
0.05,97,3.26,6,W
0.058,186,3.19,6,W
0.058,186,3.19,6,W
0.05,97,3.26,6,W
0.045,136,3.18,6,W
0.045,170,3,6,W
0.049,132,3.3,6,W
0.044,129,3.22,6,W
0.033,63,2.99,5,W
0.035,109,3.14,5,W
0.04,75,3.18,5,W
0.044,143,3.54,7,W
0.04,172,2.98,5,W
0.032,112,3.25,7,W
0.046,99,3.24,6,W
0.029,75,3.33,8,W
0.033,171,3.12,6,W
0.044,133,3.22,5,W
0.029,75,3.33,8,W
0.038,102,3.17,7,W
0.049,122,3.47,8,W
0.074,168,3.05,5,W
0.052,142,3.42,6,W
0.046,245,3.25,6,W
0.052,146,3.45,6,W
0.051,141,3.38,6,W
0.047,132,3.19,6,W
0.033,114,3.1,7,W
0.044,142,3.2,6,W
0.042,47,3.47,6,W
0.05,100,3.19,6,W
0.045,117,3.42,6,W
0.044,179,3.37,5,W
0.08,123,3.19,5,W
0.051,149,3.24,5,W
0.053,138,3.13,6,W
0.057,149,3.21,5,W
0.057,149,3.21,5,W
0.172,158,3.11,6,W
0.173,157,3.1,6,W
0.069,160,3.13,6,W
0.057,152,3.22,6,W
0.06,154,3.24,6,W
0.058,167,3.16,7,W
0.063,206,3.27,4,W
0.066,207,3.25,5,W
0.069,160,3.13,6,W
0.067,150,3.36,5,W
0.062,173,3.35,6,W
0.068,124,3.34,7,W
0.057,82,3.32,7,W
0.045,108,3.31,6,W
0.147,132,3.05,6,W
0.039,191,3.13,6,W
0.043,213,3.09,6,W
0.048,147,3.3,6,W
0.044,78,3.11,6,W
0.038,111,3.36,6,W
0.092,123,3.03,6,W
0.048,147,3.3,6,W
0.035,151,3.02,5,W
0.044,78,3.11,6,W
0.038,122,3.15,6,W
0.064,120,3.22,5,W
0.04,124,3.22,7,W
0.041,174,3.14,5,W
0.046,96,3.33,8,W
0.05,105,3.13,5,W
0.056,244,3.1,6,W
0.061,238.5,3.32,5,W
0.063,201,3.69,5,W
0.054,72,2.95,6,W
0.046,96,3.33,8,W
0.05,105,3.13,5,W
0.043,87,3.26,7,W
0.042,69,3.31,7,W
0.064,103,2.94,5,W
0.06,105,3.27,5,W
0.053,114,3.39,6,W
0.05,166,3.21,6,W
0.063,164,3.17,5,W
0.047,207,3.33,6,W
0.045,155,3.11,5,W
0.044,152,3.12,6,W
0.044,156,3.09,6,W
0.05,202,3.22,6,W
0.045,155,3.11,5,W
0.044,152,3.12,6,W
0.044,156,3.09,6,W
0.049,243,3.12,5,W
0.035,136,3.26,7,W
0.034,136,3.25,7,W
0.04,148,3.21,7,W
0.044,240,3.04,6,W
0.046,164,3.14,6,W
0.034,80,2.95,7,W
0.038,83,2.89,4,W
0.046,164,3.14,6,W
0.06,192,3,5,W
0.054,162,3.4,5,W
0.05,164,3.34,5,W
0.059,170,2.99,5,W
0.06,192,3,5,W
0.051,109,3.2,6,W
0.054,162,3.4,5,W
0.04,171,3.16,6,W
0.04,171,3.16,6,W
0.051,187,3.27,5,W
0.082,163,2.89,6,W
0.052,255,3.04,5,W
0.056,195,3.01,5,W
0.049,150,3.22,5,W
0.049,150,3.22,5,W
0.065,103,3.63,4,W
0.041,143,3.31,6,W
0.035,85,3.19,6,W
0.056,195,3.01,5,W
0.06,196,3.04,5,W
0.046,87,3.22,5,W
0.054,138,3.01,5,W
0.059,131,3.29,5,W
0.058,146,3.29,6,W
0.092,158,3.21,6,W
0.026,143,3.27,6,W
0.033,126,3.14,5,W
0.038,203,3.45,7,W
0.044,179,3.3,7,W
0.046,184,3.31,6,W
0.02,57,3.39,5,W
0.038,203,3.45,7,W
0.038,241,3.23,5,W
0.035,188,3.24,5,W
0.034,203,3.19,5,W
0.036,179,3.26,5,W
0.027,121,3.12,6,W
0.045,155,3.16,5,W
0.035,96,3.15,7,W
0.029,79,3.23,6,W
0.045,77,3.3,5,W
0.045,155,3.16,5,W
0.039,107,3.21,6,W
0.036,99,3.18,6,W
0.037,87,3.12,6,W
0.04,114,3,6,W
0.044,168,3.28,6,W
0.058,97,3.38,4,W
0.034,80,3.38,7,W
0.054,116,2.99,6,W
0.043,152,3.12,7,W
0.055,135,3.14,6,W
0.054,116,2.99,6,W
0.048,97,3.14,5,W
0.049,76,3.06,6,W
0.066,198,2.89,6,W
0.066,198,2.89,6,W
0.036,124,3.29,7,W
0.036,119,3.36,8,W
0.036,119,3.36,8,W
0.036,124,3.29,7,W
0.055,159,2.98,5,W
0.049,85,3.28,5,W
0.066,198,2.89,6,W
0.05,205,3.15,5,W
0.051,177,3.16,5,W
0.048,197,3.14,6,W
0.034,98,3.08,7,W
0.055,151,3.08,5,W
0.034,110,2.87,5,W
0.066,133,3.12,6,W
0.045,96,3.13,6,W
0.037,100,3.03,4,W
0.038,130,3.35,7,W
0.051,173,3.09,5,W
0.04,151,3.11,6,W
0.044,65,3.03,4,W
0.054,170,3.28,5,W
0.06,108,3.11,4,W
0.049,176,3.19,6,W
0.048,173,3.19,6,W
0.053,183,3.09,5,W
0.048,167,2.93,5,W
0.05,227,3.18,6,W
0.043,226,3.02,5,W
0.043,230,3.02,5,W
0.04,166,3.12,6,W
0.038,119,3.15,5,W
0.034,109,3.26,8,W
0.047,210,3.09,4,W
0.052,211,3.09,6,W
0.048,167,2.93,5,W
0.045,123,3.02,6,W
0.055,125,3.36,5,W
0.2,181,3.02,5,W
0.197,180,3.02,6,W
0.197,183,3.01,5,W
0.052,214,3.13,5,W
0.05,204,3.1,5,W
0.052,214,3.13,5,W
0.049,196,3.15,5,W
0.05,204,3.1,5,W
0.05,236,3.2,5,W
0.034,134,3.33,6,W
0.053,114,3.28,4,W
0.042,153,3.15,5,W
0.045,126,3.21,5,W
0.049,124,2.99,4,W
0.04,77,3.32,5,W
0.048,170,3.22,6,W
0.032,68,3.31,5,W
0.038,111,3.32,7,W
0.045,126,3.21,5,W
0.051,122,3.44,6,W
0.03,105,3.3,7,W
0.044,152,3.31,5,W
0.036,164,3.03,5,W
0.044,152,3.31,5,W
0.044,167,3.31,5,W
0.036,161,3.04,5,W
0.036,164,3.03,5,W
0.07,172,3,6,W
0.03,105,3.3,7,W
0.043,144,3.42,6,W
0.046,140,3.39,6,W
0.046,145,3.32,5,W
0.048,200,3.5,6,W
0.041,272,3.17,6,W
0.048,200,3.5,6,W
0.046,145,3.32,5,W
0.062,142,3.37,4,W
0.041,194,3.34,6,W
0.039,208,3.31,6,W
0.058,194,3.09,6,W
0.058,194,3.09,6,W
0.058,194,3.09,6,W
0.058,194,3.09,6,W
0.044,221,3.27,6,W
0.037,120,3.34,7,W
0.039,159,3.48,6,W
0.05,197,3.2,5,W
0.031,90,3.13,5,W
0.026,100,3.15,7,W
0.047,218.5,3.3,6,W
0.043,142,3.14,5,W
0.038,249.5,3.37,6,W
0.03,139,3.16,7,W
0.031,77,3.25,7,W
0.03,76,3.25,7,W
0.037,119,3.38,5,W
0.053,199,3.72,4,W
0.074,197,3.02,3,W
0.043,142,3.14,5,W
0.029,109,3.53,3,W
0.054,158,3.21,6,W
0.04,147,3.32,8,W
0.035,97,3.27,7,W
0.035,97,3.27,7,W
0.032,118,3.32,6,W
0.037,75,3.28,4,W
0.048,108,3.32,6,W
0.043,156,2.93,5,W
0.036,95,3.17,5,W
0.045,231,3.08,6,W
0.038,167,3.1,6,W
0.043,156,2.93,5,W
0.053,180,3.25,6,W
0.043,149,3.34,5,W
0.044,145,3.34,6,W
0.045,147,3.34,6,W
0.053,180,3.25,6,W
0.044,147,3.33,5,W
0.051,148,3.29,5,W
0.057,123,3.24,5,W
0.046,234,3.05,5,W
0.046,169,3.14,6,W
0.044,166,3.14,6,W
0.042,60,2.89,5,W
0.044,67,3.05,4,W
0.036,105,3.26,7,W
0.034,112,3.19,8,W
0.039,114,3.3,8,W
0.047,201,3.08,4,W
0.054,196,3.19,5,W
0.055,198,3.12,5,W
0.056,180,3.08,5,W
0.053,190,3.22,6,W
0.058,192,2.98,7,W
0.058,192,2.98,7,W
0.058,192,2.98,7,W
0.058,192,2.98,7,W
0.041,155,3.52,6,W
0.066,195,2.96,5,W
0.041,157,3.44,7,W
0.066,182,3.23,3,W
0.046,175,3.37,6,W
0.045,169,3.09,5,W
0.041,187,3.19,7,W
0.046,146,3.17,6,W
0.043,122,3.15,6,W
0.063,87,3.27,6,W
0.05,74,3.13,6,W
0.063,87,3.27,6,W
0.055,168,3.32,6,W
0.057,163,3.2,6,W
0.057,163,3.2,6,W
0.058,163,3.2,5,W
0.058,166,3.2,6,W
0.036,134,3.2,7,W
0.037,148,3.21,6,W
0.035,100,3.4,7,W
0.032,164,3.53,8,W
0.042,149,3.36,6,W
0.038,166,3.29,6,W
0.04,167,3.29,5,W
0.132,127,3.09,6,W
0.031,134,3.21,6,W
0.031,135,3.19,5,W
0.03,133,3.52,7,W
0.04,69,3.54,6,W
0.041,65,3.61,7,W
0.031,135,3.19,5,W
0.031,134,3.21,6,W
0.031,137,3.16,6,W
0.046,207,3.02,5,W
0.057,313,3.18,5,W
0.04,216,2.96,6,W
0.039,143,3.19,6,W
0.042,195,3.23,6,W
0.036,85,3.17,5,W
